3e-09	3e-08	2000	4000	2000	1.5e-12
11	-0.109513	0.011	0.011	1.18407e-08	0.011	5.32893e-09
12	-0.146419	0.012	0.012	1.18213e-08	0.012	5.37576e-09
13	-0.195762	0.013	0.013	1.18014e-08	0.013	5.4098e-09
14	-0.261734	0.014	0.014	1.17787e-08	0.014	5.43178e-09
15	-0.349938	0.015	0.015	1.17522e-08	0.015	5.44293e-09
16	-0.467867	0.016	0.016	1.17225e-08	0.016	5.4452e-09
17	-0.625538	0.017	0.017	1.16909e-08	0.017	5.44115e-09
18	-0.836344	0.018	0.018	1.16594e-08	0.018	5.43317e-09
19	-1.11819	0.019	0.019	1.16318e-08	0.019	5.4261e-09
20	-1.49502	0.02	0.02	1.16558e-08	0.02	5.46792e-09
3e-09	3e-08	2000	4000	2000	1.5e-12
1	-0.006	0.001	0.00100002	1.86968e-08	0.00100002	4.96785e-12
